"","ID","Gender","Own_car","Own_realty","No_children","Income","Marital_status","No_family_members","Risk_user"
"1",5008806,1,1,1,0,112500,2,2,"0"
"2",5008808,2,0,1,0,270000,NA,1,"0"
"3",5008809,2,0,1,0,270000,NA,1,"0"
"4",5008810,2,0,1,0,270000,NA,1,"0"
"5",5008811,2,0,1,0,270000,NA,1,"0"
"6",5008815,1,1,1,0,270000,2,2,"0"
"7",5008819,1,1,1,0,135000,2,2,"0"
"8",5008820,1,1,1,0,135000,2,2,"0"
"9",5008821,1,1,1,0,135000,2,2,"0"
"10",5008822,1,1,1,0,135000,2,2,"0"
"11",5008823,1,1,1,0,135000,2,2,"0"
"12",5008824,1,1,1,0,135000,2,2,"0"
"13",5008825,2,1,0,0,130500,2,2,"1"
"14",5008826,2,1,0,0,130500,2,2,"1"
"15",5008830,2,0,1,0,157500,2,2,"1"
"16",5008831,2,0,1,0,157500,2,2,"1"
"17",5008832,2,0,1,0,157500,2,2,"1"
"18",5008836,1,1,1,3,270000,2,5,"0"
"19",5008837,1,1,1,3,270000,2,5,"0"
"20",5008838,1,0,1,1,405000,2,3,"0"
"21",5008839,1,0,1,1,405000,2,3,"0"
"22",5008840,1,0,1,1,405000,2,3,"0"
"23",5008841,1,0,1,1,405000,2,3,"0"
"24",5008842,1,0,1,1,405000,2,3,"0"
"25",5008843,1,0,1,1,405000,2,3,"0"
"26",5008844,1,1,1,0,112500,2,2,"0"
"27",5008846,1,1,1,0,112500,2,2,"0"
"28",5008847,1,1,1,0,112500,2,2,"0"
"29",5008849,1,1,1,0,112500,2,2,"0"
"30",5008850,1,1,1,0,112500,2,2,"0"
"31",5008851,1,1,1,0,112500,2,2,"0"
"32",5008852,1,1,1,0,112500,2,2,"0"
"33",5008853,1,1,1,0,112500,2,2,"0"
"34",5008854,2,1,1,2,135000,2,4,"0"
"35",5008855,2,1,1,2,135000,2,4,"0"
"36",5008856,2,1,1,2,135000,2,4,"0"
"37",5008857,2,1,1,2,135000,2,4,"0"
"38",5008858,2,1,1,2,135000,2,4,"0"
"39",5008859,2,1,1,2,135000,2,4,"0"
"40",5008860,2,1,1,2,135000,2,4,"0"
"41",5008861,2,1,1,2,135000,2,4,"0"
"42",5008862,2,1,1,2,135000,2,4,"0"
"43",5008863,2,1,1,2,135000,2,4,"0"
"44",5008864,2,1,1,2,135000,2,4,"0"
"45",5008865,2,1,1,2,135000,2,4,"0"
"46",5008866,2,1,1,2,135000,2,4,"0"
"47",5008867,2,1,1,2,135000,2,4,"0"
"48",5008868,2,0,1,1,211500,2,3,"0"
"49",5008870,2,0,1,1,211500,2,3,"0"
"50",5008872,1,1,1,0,360000,2,2,"1"
"51",5008873,2,0,1,2,126000,2,4,"0"
"52",5008874,2,0,1,2,126000,2,4,"0"
"53",5008875,2,0,1,2,126000,2,4,"0"
"54",5008876,2,0,1,2,126000,2,4,"0"
"55",5008877,2,0,1,2,126000,2,4,"0"
"56",5008878,2,0,1,2,126000,2,4,"1"
"57",5008879,2,0,1,2,126000,2,4,"0"
"58",5008880,2,0,1,2,126000,2,4,"0"
"59",5008881,2,0,1,2,126000,2,4,"0"
"60",5008882,2,0,1,2,126000,2,4,"0"
"61",5008888,2,0,1,0,247500,2,1,"0"
"62",5008889,2,0,1,0,247500,2,1,"0"
"63",5008890,2,0,1,0,247500,2,1,"0"
"64",5008891,2,0,1,0,297000,NA,1,"0"
"65",5008892,2,0,1,0,297000,NA,1,"0"
"66",5008893,2,0,1,0,297000,NA,1,"0"
"67",5008894,2,0,1,0,297000,NA,1,"0"
"68",5008895,2,0,1,0,297000,NA,1,"0"
"69",5008896,2,0,1,0,297000,NA,1,"0"
"70",5008897,2,0,1,0,297000,NA,1,"0"
"71",5008898,2,0,1,0,297000,NA,1,"0"
"72",5008899,2,0,1,0,297000,NA,1,"0"
"73",5008900,2,0,1,0,297000,NA,1,"0"
"74",5008901,2,0,1,0,297000,NA,1,"0"
"75",5008902,2,0,1,0,297000,NA,1,"1"
"76",5008903,2,0,1,0,297000,NA,1,"0"
"77",5008904,2,0,1,0,297000,NA,1,"1"
"78",5008905,2,0,1,0,297000,NA,1,"0"
"79",5008906,2,0,1,0,297000,NA,1,"1"
"80",5008907,2,0,1,0,297000,NA,1,"0"
"81",5008908,2,0,1,0,297000,NA,1,"1"
"82",5008909,2,0,1,0,297000,NA,1,"0"
"83",5008910,2,0,1,0,297000,NA,1,"1"
"84",5008911,2,0,1,0,297000,NA,1,"0"
"85",5008912,2,0,1,0,297000,NA,1,"1"
"86",5008913,2,0,1,0,297000,NA,1,"0"
"87",5008914,2,0,1,0,297000,NA,1,"1"
"88",5008915,2,0,1,0,297000,NA,1,"0"
"89",5008916,2,0,1,0,297000,NA,1,"1"
"90",5008917,2,0,1,0,297000,NA,1,"0"
"91",5008918,2,0,1,0,297000,NA,1,"1"
"92",5008919,2,0,1,0,297000,NA,1,"0"
"93",5008920,2,0,1,0,297000,NA,1,"1"
"94",5008921,2,0,1,0,297000,NA,1,"0"
"95",5008922,2,0,1,0,297000,NA,1,"1"
"96",5008923,2,0,1,0,297000,NA,1,"0"
"97",5008924,2,0,1,0,297000,NA,1,"0"
"98",5008925,2,0,1,0,297000,NA,1,"0"
"99",5008926,2,0,1,0,297000,NA,1,"1"
"100",5008927,2,0,1,0,297000,NA,1,"0"
"101",5008928,2,0,1,0,297000,NA,1,"1"
"102",5008929,2,0,1,0,297000,NA,1,"0"
"103",5008930,2,0,1,0,297000,NA,1,"0"
"104",5008931,2,0,1,0,297000,NA,1,"0"
"105",5008932,2,0,1,0,297000,NA,1,"0"
"106",5008933,2,0,1,0,297000,NA,1,"0"
"107",5008934,2,0,1,0,297000,NA,1,"0"
"108",5008935,2,0,1,0,297000,NA,1,"0"
"109",5008936,2,0,1,0,297000,NA,1,"0"
"110",5008937,2,0,1,0,297000,NA,1,"0"
"111",5008938,2,0,1,0,297000,NA,1,"0"
"112",5008939,2,0,1,0,297000,NA,1,"0"
"113",5008940,2,0,1,0,297000,NA,1,"0"
"114",5008941,2,0,1,0,297000,NA,1,"0"
"115",5008942,2,0,0,0,157500,2,2,"1"
"116",5008943,2,0,0,0,157500,2,2,"0"
"117",5008944,2,0,0,0,157500,2,2,"1"
"118",5008945,2,0,0,0,157500,2,2,"1"
"119",5008946,2,0,0,0,157500,2,2,"1"
"120",5008947,1,0,1,0,135000,2,2,"0"
"121",5008948,1,0,1,0,135000,2,2,"0"
"122",5008949,1,0,1,0,135000,2,2,"0"
"123",5008950,1,0,1,0,135000,2,2,"0"
"124",5008955,2,1,1,0,135000,2,2,"0"
"125",5008956,2,1,1,0,135000,2,2,"0"
"126",5008957,2,1,1,0,135000,2,2,"0"
"127",5008958,2,1,1,0,135000,2,2,"0"
"128",5008959,2,1,1,0,135000,2,2,"0"
"129",5008960,2,1,1,0,135000,2,2,"0"
"130",5008962,2,1,1,0,135000,2,2,"0"
"131",5008963,2,1,1,0,135000,2,2,"0"
"132",5008981,1,1,1,0,112500,2,2,"0"
"133",5008983,1,1,1,0,112500,2,2,"0"
"134",5008984,1,1,1,0,112500,2,2,"0"
"135",5008986,1,1,1,0,112500,2,2,"0"
"136",5008987,1,1,1,0,112500,2,2,"0"
"137",5008988,1,1,1,0,112500,2,2,"0"
"138",5008991,2,1,1,0,270000,2,1,"0"
"139",5008992,2,1,1,0,270000,2,1,"0"
"140",5008993,2,1,1,0,270000,2,1,"0"
"141",5008994,2,1,1,0,270000,2,1,"0"
"142",5008995,2,1,1,0,270000,2,1,"0"
"143",5008998,2,1,1,0,270000,2,2,"0"
"144",5008999,2,1,1,0,270000,2,2,"0"
"145",5009000,1,1,1,0,157500,2,2,"0"
"146",5009001,1,0,1,0,166500,2,2,"0"
"147",5009002,1,0,1,0,166500,2,2,"0"
"148",5009005,1,0,1,0,166500,2,2,"0"
"149",5009006,1,0,1,0,166500,2,2,"0"
"150",5009007,1,0,1,0,166500,2,2,"0"
"151",5009008,1,0,1,0,166500,2,2,"0"
"152",5009009,1,0,1,0,166500,2,2,"0"
"153",5009010,1,0,1,0,166500,2,2,"0"
"154",5009012,1,0,1,0,166500,2,2,"0"
"155",5009014,1,0,1,0,166500,2,2,"0"
"156",5009027,2,1,1,0,270000,2,2,"0"
"157",5009028,2,1,1,0,225000,2,2,"1"
"158",5009029,2,1,1,0,225000,2,2,"0"
"159",5009031,2,0,1,0,315000,NA,1,"0"
"160",5009032,2,0,1,0,315000,NA,1,"0"
"161",5009039,2,0,1,2,157500,NA,3,"0"
"162",5009040,2,0,1,2,157500,NA,3,"0"
"163",5009042,2,0,1,0,148500,2,2,"0"
"164",5009043,2,0,1,0,148500,2,2,"0"
"165",5009044,2,0,1,0,148500,2,2,"1"
"166",5009045,2,0,1,0,148500,2,2,"1"
"167",5009046,2,0,1,0,148500,2,2,"0"
"168",5009047,2,0,1,0,148500,2,2,"0"
"169",5009050,2,0,1,2,202500,2,4,"0"
"170",5009051,2,0,1,2,202500,2,4,"1"
"171",5009052,2,0,1,2,202500,2,4,"0"
"172",5009053,2,0,1,2,202500,2,4,"0"
"173",5009055,2,0,1,2,202500,2,4,"0"
"174",5009056,1,0,1,0,202500,NA,1,"0"
"175",5009057,1,0,1,0,202500,NA,1,"0"
"176",5009058,2,1,1,0,112500,NA,1,"0"
"177",5009062,1,1,1,0,315000,2,2,"0"
"178",5009063,1,1,1,0,315000,2,2,"0"
"179",5009064,1,1,1,0,315000,2,2,"0"
"180",5009065,1,1,1,0,315000,2,2,"0"
"181",5009066,1,1,1,0,315000,2,2,"0"
"182",5009067,1,1,1,0,315000,2,2,"0"
"183",5009068,1,1,1,0,315000,2,2,"0"
"184",5009069,1,1,1,0,315000,2,2,"0"
"185",5009070,1,1,1,0,315000,2,2,"0"
"186",5009071,2,1,1,0,270000,2,2,"0"
"187",5009072,2,1,1,0,270000,2,2,"0"
"188",5009074,2,1,1,1,450000,2,3,"0"
"189",5009075,2,1,1,1,450000,2,3,"0"
"190",5009078,1,0,1,1,180000,2,3,"0"
"191",5009079,2,0,1,0,112500,2,2,"0"
"192",5009080,2,0,1,0,112500,2,2,"1"
"193",5009081,2,0,1,0,112500,2,2,"0"
"194",5009083,1,0,1,0,90000,2,2,"0"
"195",5009084,1,0,1,0,90000,2,2,"0"
"196",5009088,1,1,0,2,202500,2,4,"0"
"197",5009089,1,1,0,2,202500,2,4,"0"
"198",5009090,1,1,1,0,247500,2,2,"0"
"199",5009092,1,1,1,1,765000,2,3,"1"
"200",5009094,1,1,1,1,765000,2,3,"0"
"201",5009095,1,1,1,1,765000,2,3,"0"
"202",5009096,2,0,1,1,270000,2,3,"0"
"203",5009097,2,0,1,1,270000,2,3,"0"
"204",5009098,2,0,1,1,270000,2,3,"0"
"205",5009099,2,0,1,0,315000,2,1,"0"
"206",5009100,2,0,1,0,315000,2,1,"0"
"207",5009103,1,1,1,2,157500,2,4,"0"
"208",5009104,1,1,1,2,157500,2,4,"0"
"209",5009105,1,1,1,2,157500,2,4,"0"
"210",5009106,1,1,1,2,157500,2,4,"0"
"211",5009108,1,0,1,0,360000,2,2,"0"
"212",5009109,1,0,1,0,360000,2,2,"0"
"213",5009110,2,0,1,0,112500,2,2,"1"
"214",5009141,2,0,0,0,135000,2,2,"0"
"215",5009142,2,0,0,0,135000,2,2,"0"
"216",5009145,1,1,0,0,315000,2,2,"0"
"217",5009146,1,1,0,0,315000,2,2,"1"
"218",5009147,1,1,0,0,315000,2,2,"0"
"219",5009149,1,1,0,0,315000,2,2,"0"
"220",5009150,1,1,0,0,315000,2,2,"1"
"221",5009151,2,0,0,0,180000,2,2,"0"
"222",5009152,2,0,0,0,180000,2,2,"0"
"223",5009153,2,0,0,0,180000,2,2,"0"
"224",5009154,2,0,0,0,180000,2,2,"0"
"225",5009155,2,0,0,0,180000,2,2,"0"
"226",5009156,2,0,0,0,180000,2,2,"0"
"227",5009157,2,0,0,0,180000,2,2,"0"
"228",5009158,2,0,0,0,180000,2,2,"0"
"229",5009159,2,0,0,0,180000,2,2,"0"
"230",5009160,2,0,0,0,180000,2,2,"0"
"231",5009161,2,0,0,0,180000,2,2,"1"
"232",5009162,2,0,0,0,180000,2,2,"0"
"233",5009163,2,0,0,0,157500,2,2,"0"
"234",5009164,2,0,0,0,157500,2,2,"0"
"235",5009165,2,0,0,0,157500,2,2,"0"
"236",5009166,2,0,0,0,157500,2,2,"0"
"237",5009168,2,0,0,0,157500,2,2,"0"
"238",5009177,1,1,0,0,229500,2,2,"1"
"239",5009178,1,1,0,0,229500,2,2,"1"
"240",5009179,1,1,0,0,229500,2,2,"0"
"241",5009180,1,1,0,0,229500,2,2,"1"
"242",5009181,1,1,0,0,229500,2,2,"1"
"243",5009182,1,1,0,0,229500,2,2,"0"
"244",5009183,1,1,0,0,229500,2,2,"0"
"245",5009186,2,0,0,0,270000,2,2,"1"
"246",5009187,2,0,0,0,270000,2,2,"0"
"247",5009188,2,0,0,0,270000,2,2,"0"
"248",5009189,2,0,0,0,270000,2,2,"0"
"249",5009190,2,0,0,0,270000,2,2,"0"
"250",5009191,2,0,0,0,270000,2,2,"0"
"251",5009192,2,0,0,0,270000,2,2,"0"
"252",5009193,2,0,0,0,270000,2,2,"1"
"253",5009195,2,0,0,0,292500,2,2,"0"
"254",5009196,2,0,0,0,292500,2,2,"0"
"255",5009198,2,0,0,0,292500,2,2,"0"
"256",5009201,2,0,0,0,292500,2,2,"0"
"257",5009202,2,0,0,0,292500,2,2,"0"
"258",5009203,2,0,0,0,292500,2,2,"0"
"259",5009204,2,0,0,0,292500,2,2,"0"
