"","Gender","Own_car","Own_realty","No_children","Income","Income_type","Education","Marital_status","Housing_type","DateOfBirth","DateOfEmployed","Workphone","Phone","Email","Occupation","No_family_members","Risk_user"
"1","Male","1","1",0,112500,"Working","Secondary","Married","House / apartment","1911-03-18","1966-11-24","0","0","0","Security staff",2,"0"
"2","Female","0","1",0,270000,"Commercial associate","Secondary","Single","House / apartment","1917-09-06","1961-08-25","0","1","1","Sales staff",1,"0"
"3","Female","0","1",0,270000,"Commercial associate","Secondary","Single","House / apartment","1917-09-06","1961-08-25","0","1","1","Sales staff",1,"0"
"4","Female","0","1",0,270000,"Commercial associate","Secondary","Single","House / apartment","1917-09-06","1961-08-25","0","1","1","Sales staff",1,"0"
"5","Female","0","1",0,270000,"Commercial associate","Secondary","Single","House / apartment","1917-09-06","1961-08-25","0","1","1","Sales staff",1,"0"
"6","Male","1","1",0,270000,"Working","Higher education","Married","House / apartment","1923-10-23","1967-11-24","1","1","1","Accountants",2,"0"
"7","Male","1","1",0,135000,"Commercial associate","Secondary","Married","House / apartment","1921-04-30","1966-09-25","0","0","0","Laborers",2,"0"
"8","Male","1","1",0,135000,"Commercial associate","Secondary","Married","House / apartment","1921-04-30","1966-09-25","0","0","0","Laborers",2,"0"
"9","Male","1","1",0,135000,"Commercial associate","Secondary","Married","House / apartment","1921-04-30","1966-09-25","0","0","0","Laborers",2,"0"
"10","Male","1","1",0,135000,"Commercial associate","Secondary","Married","House / apartment","1921-04-30","1966-09-25","0","0","0","Laborers",2,"0"
"11","Male","1","1",0,135000,"Commercial associate","Secondary","Married","House / apartment","1921-04-30","1966-09-25","0","0","0","Laborers",2,"0"
"12","Male","1","1",0,135000,"Commercial associate","Secondary","Married","House / apartment","1921-04-30","1966-09-25","0","0","0","Laborers",2,"0"
"13","Female","1","0",0,130500,"Working","Incomplete higher","Married","House / apartment","1940-10-16","1966-12-25","0","0","0","Accountants",2,"1"
"14","Female","1","0",0,130500,"Working","Incomplete higher","Married","House / apartment","1940-10-16","1966-12-25","0","0","0","Accountants",2,"1"
"15","Female","0","1",0,157500,"Working","Secondary","Married","House / apartment","1942-07-16","1965-12-24","0","1","0","Laborers",2,"1"
"16","Female","0","1",0,157500,"Working","Secondary","Married","House / apartment","1942-07-16","1965-12-24","0","1","0","Laborers",2,"1"
"17","Female","0","1",0,157500,"Working","Secondary","Married","House / apartment","1942-07-16","1965-12-24","0","1","0","Laborers",2,"1"
"18","Male","1","1",3,270000,"Working","Secondary","Married","House / apartment","1935-04-06","1966-10-26","0","0","0","Laborers",5,"0"
"19","Male","1","1",3,270000,"Working","Secondary","Married","House / apartment","1935-04-06","1966-10-26","0","0","0","Laborers",5,"0"
"20","Male","0","1",1,405000,"Commercial associate","Higher education","Married","House / apartment","1937-07-31","1964-06-25","0","0","0","Managers",3,"0"
"21","Male","0","1",1,405000,"Commercial associate","Higher education","Married","House / apartment","1937-07-31","1964-06-25","0","0","0","Managers",3,"0"
"22","Male","0","1",1,405000,"Commercial associate","Higher education","Married","House / apartment","1937-07-31","1964-06-25","0","0","0","Managers",3,"0"
"23","Male","0","1",1,405000,"Commercial associate","Higher education","Married","House / apartment","1937-07-31","1964-06-25","0","0","0","Managers",3,"0"
"24","Male","0","1",1,405000,"Commercial associate","Higher education","Married","House / apartment","1937-07-31","1964-06-25","0","0","0","Managers",3,"0"
"25","Male","0","1",1,405000,"Commercial associate","Higher education","Married","House / apartment","1937-07-31","1964-06-25","0","0","0","Managers",3,"0"
"26","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"27","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"28","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"29","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"30","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"31","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"32","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"33","Male","1","1",0,112500,"Commercial associate","Secondary","Married","House / apartment","1913-11-14","1957-10-26","0","1","0","Drivers",2,"0"
"34","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"35","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"36","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"37","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"38","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"39","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"40","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"41","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"42","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"43","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"44","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"45","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"46","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"47","Female","1","1",2,135000,"Working","Secondary","Married","House / apartment","1926-11-07","1961-04-25","0","0","0","Laborers",4,"0"
"48","Female","0","1",1,211500,"State servant","Secondary","Civil marriage","House / apartment","1925-08-13","1950-07-26","0","0","0","Core staff",3,"0"
"49","Female","0","1",1,211500,"State servant","Secondary","Civil marriage","House / apartment","1925-08-13","1950-07-26","0","0","0","Core staff",3,"0"
"50","Male","1","1",0,360000,"Commercial associate","Secondary","Married","House / apartment","1924-05-12","1955-04-26","0","1","0","Security staff",2,"1"
"51","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
"52","Female","0","1",2,126000,"Commercial associate","Higher education","Married","House / apartment","1936-01-09","1965-02-23","0","0","1","Managers",4,"0"
